domain,cc,size_mobile,size_desktop
www.apctimes.com,SL,66446,66446
www.aproko247.com,NG,92895,92895
www.aps.dz,DZ,2888,2884
www.aps.sn,SN,96615,96615
www.arenebi.com,SN,274414,274692
www.arewaonline-ng.com,NG,155921,155921
www.arib.info,BI,2899056,2899056
www.arushatimes.co.tz,TZ,9393,9310
www.ascension-island.gov.ac,SH,71473,71442
www.asdae.com,MA,14009,14009
www.asmarino.com,ER,87837,125240
www.assabah.com.tn,TN,142248,142248
www.assabah.press.ma,MA,136073,136682
www.atoo.ci,CI,150504,150597
www.attounissia.com.tn,TN,1765,1986
www.au-senegal.com,SN,92700,92700
www.aufait.ma,MA,701,701
www.aujourdhui-en-guinee.com,GQ,79013,79013
www.aujourdhui.ma,MA,185789,186352
www.autrequotidien.com,BJ,63115,69996
www.awrambatimes.com,ET,50804,50803
www.az.com.na,NA,69194,69194
www.b-metro.co.zw,ZW,62729,62729
www.babnet.net,TN,60325,277811
www.bakhitaradio.org,SS,54595,54595
www.ballito-fever.co.za,ZA,-1,-1
www.ballitonews.co.za,ZA,61123,61123
www.banadir.com,SO,458412,458412
www.banjulfocus.com,GM,40924,40924
www.bdlive.co.za,ZA,421477,421477
www.beeld.com,ZA,47853,126695
www.bejaiainfo.com,DZ,152780,152782
www.bellanaija.com,NG,363883,221411
www.benin24tv.com,BJ,-1,-1
www.benininfo.com,BJ,142527,142527
www.bh24.co.zw,ZW,169461,169591
www.bignigeria.com,NG,177941,177941
www.bissaudigital.com,GW,26096,26096
www.bizday.co.zw,ZW,19355,19355
www.blida-aps.dz,DZ,39289,39289
www.blueprint.ng,NG,-1,-1
www.bonaberi.com,CM,107004,106997
www.bonesha.bi,BI,8472,8763
www.bordj.info,DZ,53105,53105
www.bordj.net,DZ,-1,-1
www.botswanaguardian.co.bw,BW,49568,49568
www.bravanews.com,CV,77051,77051
www.breede.com,ZA,-1,-1
www.brnieq.com,LY,20789,20789
www.bugandawatch.com,UG,71318,71318
www.bujumbura.be,BI,714,714
www.bukedde.co.ug,UG,105596,105596
www.burkina24.com,BF,37329,37378
www.burundi-info.com,BI,-1,-1
www.burundi-sites.com,BI,17180,17180
www.burundi.gov.bi,BI,39606,39606
www.burundirealite.org,BI,307,307
www.bushchicken.com,LR,78720,218102
www.business-et-finances.com,CD,187897,187897
www.businessdaily.co.zw,ZW,48154,48127
www.businessdailyafrica.com,KE,82768,82543
www.businessdaytv.co.za,ZA,421477,421477
www.businessghana.com,GH,1069,1069
www.businesstimes.co.tz,TZ,9240,9328
www.businesstodayegypt.com,EG,-1,-1
www.businessweekly.co.bw,BW,118896,118896
www.busiweek.com,UG,69880,69880
www.cabindanation.net,AO,-1,-1
www.cabodiario.com,CV,29719,29719
www.caboverdeonline.com,CV,39877,39877
www.cairolive.com,EG,97920,97920
www.cairotimes.com,EG,26588,26588
www.camer.be,CM,317032,317056
www.cameroon-info.net,CM,173362,294126
www.cameroon-tribune.cm,CM,154198,154198
www.cameroononline.org,CM,152130,152131
www.cameroonpostline.com,CM,40968,89567
www.cameroonweb.com,CM,46436,26203
www.cameroun-online.com,CM,263461,263461
www.cameroun24.net,CM,60610,60610
www.camerounactu.net,CM,14808,14808
www.camerounlink.net,CM,165646,217878
www.camerpost.com,CM,-1,-1
www.camnews24.com,CM,70917,70917
www.canalmoz.com,MZ,-1,-1
www.capetalk.co.za,ZA,52158,52158
www.capitaleritrea.com,ER,78679,78819
www.capitalethiopia.com,ET,-1,-1
www.capitalfm.co.ke,KE,76115,76072
www.capitalradiomalawi.com,MW,-1,113798
www.carletonvilleherald.com,ZA,67686,184437
www.carrefourdalgerie.com,DZ,61218,61227
www.cbc-eg.com,EG,3649,3649
www.cbn.co.za,ZA,115408,115408
www.ceelqaboobe.com,SO,147928,147928
www.cefib.com,ML,18463,18463
www.centrafrique-presse.info,CF,86,86
www.centrafriquelibre.info,CF,-1,-1
www.channelafrica.co.za,ZA,87863,87863
www.channelstv.com,NG,150569,131057
www.channelzim.net,ZW,1678,1678
www.chikuniradiozm.org,ZM,24246,35057
www.chimpreports.com,UG,127283,128184
www.chronicle.co.zw,ZW,130692,130692
www.citifmonline.com,GH,117915,117915
www.citizentv.co.ke,KE,82853,82852
www.citypress.co.za,ZA,17320,81373
www.cknnigeria.com,NG,169734,169735
www.clicanoo.re,RE,63596,134764
www.club-k.net,AO,122303,123001
www.coastweek.com,KE,619447,619447
www.comores-actualites.com,KM,63202,70081
www.comores-infos.net,KM,129263,129505
www.comores-web.com,KM,-1,-1
www.comoresonline.net,KM,-1,-1
www.competition.dz,DZ,62095,62095
www.conakryonline.com,GQ,50021,50021
www.confidente.com.na,NA,157579,157435
www.congo-site.com,CG,25514,49687
www.congo24.net,CD,447,447
www.congoindependant.com,CD,70426,70426
www.congojet.com,CD,34970,34970
www.congolais.fr,CD,4164,4164
www.congonline.com,CD,-1,-1
www.congopage.com,CG,65735,65735
www.congoplanet.com,CD,45163,45243
www.congoplanete.com,CD,47966,47932
www.congotribune.com,CD,36080,36080
www.congovision.com,CD,103216,103216
www.connectionivoirienne.net,CI,107725,107725
www.constantine-aps.dz,DZ,43416,43416
www.corcas.com,EH,-1,-1
www.cote-d-ivoire.info,CI,895,895
www.cote-d-ivoire.net,CI,45640,66604
www.cottontreenews.org,SL,18902,18902
www.courriercasablanca.com,MA,164748,164748
www.courrierconfidentiel.net,BF,46081,46081
www.cridem.org,MR,52027,51943
www.critiqueecho.com,SL,151310,151241
www.cxpress.co.za,ZA,32777,32751
www.cyberethiopia.com,ET,44752,44749
www.dac-presse.com,CG,123095,123095
www.daily-mail.co.zm,ZM,91223,91189
www.dailyguideghana.com,GH,75796,75796
www.dailyheritageonline.com,GH,1658,1658
www.dailymaverick.co.za,ZA,298729,298729
www.dailynation.news,ZM,94140,94140
www.dailynews.co.tz,TZ,158163,158163
www.dailynews.co.zw,ZW,14870,40032
www.dailynews.gov.bw,BW,-1,45205
www.dailynewsegypt.com,EG,134703,134703
www.dailytimes.com.ng,NG,-1,-1
www.dailytrust.com.ng,NG,168859,168859
www.dakar-info.com,SN,-1,-1
www.dakaractu.com,SN,202147,202152
www.deboutcongolais.info,CD,36760,36760
www.defimedia.info,MU,-1,-1
www.dehai.org,ER,92794,92794
www.depechedekabylie.com,DZ,88200,88200
www.derbypresse.dz,DZ,34832,34832
www.devoircitoyen.fr,SN,38662,38662
www.dieburger.com,ZA,47179,126039
www.digitalcongo.net,CD,3028,3028
www.direct.cd,CD,136763,136763
www.dispatchlive.co.za,ZA,214916,214916
www.districtmail.com,ZA,56995,146063
www.djazairess.com,DZ,107674,108243
www.djelfa.info,DZ,-1,-1
www.djibnet.com,DJ,35727,35727
www.dknews-dz.com,DZ,60639,60639
www.dmd.mg,MG,-1,-1
www.dostor.org,EG,97716,97718
www.durbannews.co.za,ZA,431355,431355
www.dzfoot.com,DZ,60230,67593
www.e-nigeriang.com,NG,144997,144997
www.eastlondonexpress.co.za,ZA,61008,112793
www.ech-chaab.com,DZ,252,252
www.echo-doran.com,DZ,1003,296
www.echo.co.bw,BW,2793,2793
www.echoroukonline.com,DZ,285537,285537
www.economist.com.na,NA,587953,588965
www.ecr.co.za,ZA,83660,69133
www.edenexpress.co.za,ZA,61008,112693
www.edgecommunitynews.com,ZA,68000,68000
