domain,name,cc,region,type,category,language,comment,geoloc_cc,geoloc_city,traceloc_cc,traceloc_city,size_mobile,size_desktop
lefaso.net,Le Faso,BF,National,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
lejournaldaffaire.com,Le Journal d'Affaires,DZ,Alger,NP,BU,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
lejournaldemayotte.com,Le Journal de Mayotte,YT,Nationwide,NP,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
lelynx.net,Le Lynx,GQ,Conakry,NP,SR,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
lepays.bf,Le Pays,BF,National,NP,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
leprovincial.com,Le Provincial,DZ,Annaba,NP,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
lequotidienalgerie.org,Le Quotidien d'Algerie,DZ,National,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
lestimes.com,Lesotho Times,LS,National,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
letempstg.com,Le Temps Togo,TG,Foreign,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
levenementprecis.com,L'Evenement Precis,BJ,Cotonou,NP,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
lexpressguinee.com,L'Express Guinee,GQ,National,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
liberal.sapo.cv,Liberal,CV,Nationwide,IN,GI,POR,,NULL,NULL,NULL,NULL,NULL,NULL
libyabizinfo.com,Libya Business Info,LY,Nationwide,IN,GI,ARA,,NULL,NULL,NULL,NULL,NULL,NULL
lindaikeji.blogspot.com,Welcome to Linda Ikeji's Blog,NG,Nationwide,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
lintelligentdabidjan.ci,L'Intelligent d'Abidjan,CI,Abidjan,NP,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
lnt.ma,La Nouvelle Tribune,MA,Casablanca,NP,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
lobservateurdumaroc.info,L'Observateur,MA,National,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
lowvelder.co.za,Laevelder Lowvelder,ZA,Nelspruit,NP,GI,AFR,Also ENG,NULL,NULL,NULL,NULL,NULL,NULL
lusakastar.com,Lusaka Star,ZM,National,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
lusakavoice.com,Lusaka Voice,ZM,National,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
majira-hall.blogspot.com,Majira,TZ,Dar es Salaam,NP,GI,SWA,,NULL,NULL,NULL,NULL,NULL,NULL
makonitimes.com,Makoni Times,SL,National,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
malawi24.com,Malawi 24,MW,National,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
malawiana.net,Malawiana,MW,National,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
malawilive.com,Malawi Live,MW,National,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
maliactu.net,Mali Actu,ML,National,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
manicapost.co.zw,Manica Post,ZW,Mutare,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
