"domain","name","cc","region","type","category","language","comment","geoloc_cc",size_mobile,size_desktop
"saharaoccidental.blogspot.com","Sahara Occidental Western Sahara","EH","National","IN","GI","FRA","Also ENG SPA","US-CA",37970,93675
"saharareporters.com","Sahara Reporters","NG","Nationwide","IN","GI","ENG","","US",175135,159861
"salonepost.com","Salone Post","SL","National","IN","GI","ENG","","US-IL",11652,11652
"sandtonchronicle.co.za","Sandton Chronicle","ZA","Sandton","NP","GI","ENG","","US",125782,296680
"sandtonmag.co.za","Sandton","ZA","Sandton","MG","GI","ENG","","US-NJ",48790,48790
"sawt-alahrar.net","Sawt Al Ahrar","DZ","Alger","NP","GI","ARA","","DE",3335,873
"sawtdjelfa.com","Sawt Djelfa","DZ","Djelfa","IN","GI","ARA","","FR",47209,164882
"scannewsnigeria.com","Scan News","NG","Nationwide","IN","GI","ENG","","US-TX",89664,89664
"sedibengster.com","Sedibeng Ster","ZA","Vanderbijlpark","NP","GI","AFR","Also ENG","ZA",63248,183572
"senego.com","Senego","SN","Nationwide","IN","GI","FRA","","US",125606,125976
"silverbirdtv.com","Silverbird TV","NG","Lagos","BC","GI","ENG","TV","NL",148366,148390
"sites.google.com","Le Jeune Algerien","DZ","Alger","NP","GI","FRA","","US-CA",960115,934750
"siyimbali.com","Siyimbali","SZ","National","IN","GI","ENG","","US",58413,58413
"slconcordtimes.com","Concord Times","SL","National","NP","GI","ENG","","US-CA",53408,53408
"slpublicopinion.wordpress.com","Sierra Leone Public Opinion","SL","National","IN","GI","ENG","","US-CA",54648,57425
"societynews.co.za","Society News","ZA","Pretoria","IN","GI","ENG","","US-FL",111,111
"somaliaone.net","Somalia One","SO","National","IN","GI","SOM","Also ENG","BG",112922,112922
"somalilandpress.com","Somaliland Press","SO","Hargeisa","IN","GI","ENG","","US-AZ",67769,197751
"sosanews.com","Sosa News","SS","Foreign","IN","GI","ENG","","US",31100,31590
"source.co.zw","Source","ZW","National","IN","BU","ENG","","US-TX",123548,123548
"southafricatoday.net","South Africa Today","ZA","National","IN","GI","ENG","","US",57915,196735
"southcoastherald.co.za","South Coast Herald","ZA","Port Shepstone","NP","GI","ENG","","US",108385,284795
"southcoastsun.co.za","South Coast Sun","ZA","Amanzimtoti","NP","GI","ENG","","US",118984,277586
"southernafrican.news","Southern Times","NA","Windhoek","NP","GI","ENG","","DE",129805,128145
"southlandssun.co.za","Southlands Sun","ZA","Durban (Southlands)","NP","GI","ENG","","US",103266,270923
"southsudantoday.net","South Sudan Today","SS","Juba","NP","GI","ENG","","US-FL",5153,1104
"southsudantribune.org","South Sudan Tribune","SS","Foreign","IN","GI","ENG","","US-IL",46218,46218
"sport.elkhabar.com","El Khabar Er Riadhi","DZ","Alger","NP","SP","ARA","","US",288586,288586
"sport.ennaharonline.com","Echibek","DZ","Alger","NP","SP","ARA","","FR",227756,227756
"sportbrief.co.zw","Sport Brief","ZW","National","IN","SP","ENG","","GB",203206,203206
"spr.fm","Somali Public Radio","SO","Foreign","BC","GI","SOM","Radio Also ENG","US-MA",10933,19160
"standardtimespress.org","Standard Times Press","SL","National","NP","GI","ENG","","BG",56534,56534
"startvtz.com","Star TV","TZ","National","BC","GI","SWA","TV","US-MA",31147,31151
"stfrancischronicle.com","St. Francis Chronicle","ZA","St. Francis Bay","NP","GI","ENG","","US-CA",63270,54361
"sthelenaonline.org","St. Helena Online","SH","Jamestown","IN","GI","ENG","","GB",110433,110433
"suna-sd.net","Sudan News Agency","SD","National","PA","GI","ARA","","SD",72570,72570
"sundayexpress.co.ls","Sunday Express","LS","National","NP","GI","ENG","","ZA",101828,101828
"sunnewsonline.com","Sun","NG","Nationwide","NP","GI","ENG","","US",134223,134223
"tahrirnews.com","Al Tahrir","EG","Cairo","NP","GI","ARA","","US",177848,177848
"tchadinfos.com","Tchad Infos","TD","Nationwide","IN","GI","FRA","","US-AZ",153097,153097
"tchadonline.com","Tchad Online","TD","Nationwide","IN","GI","FRA","","US-CT",7975,7975
"telquel.ma","Tel Quel","MA","National","MG","GI","FRA","","US",242605,148574
"theabujatimes.com","Abuja Times","NG","Abuja","NP","GI","ENG","","US-FL",195681,195463
"theadvocatengr.com","Advocate","NG","Enugu","NP","GI","ENG","","US-TX",82392,82392
"thebftonline.com","Business and Financial Times","GH","Accra","NP","BU","ENG","","US",33877,33879
"thecitizenng.com","Citizen","NG","Nationwide","IN","GI","ENG","","US-KS",181787,181796
"theeagleonline.com.ng","Eagle Online","NG","Nationwide","IN","GI","ENG","","US-KS",177170,177170
"theglobenewspaper.blogspot.com","Globe Newspaper","ZM","National","IN","GI","ENG","","US-CA",22880,286529
"theheraldghana.com","Herald","GH","Accra","NP","GI","ENG","","US",42966,42966
"theinfrastructurenewsng.com","Infra News","NG","Nationwide","IN","GI","ENG","","US-AZ",327,327
"theinsider.ug","Insider","UG","National","IN","GI","ENG","","US-UT",172770,172770
"theinvestigatornews.com","Investigator","UG","National","IN","GI","ENG","","US-TX",57436,261270
"theliberiandialogue.org","Liberian Dialogue","LR","Nationwide","IN","GI","ENG","","US-UT",58511,58511
"theliberiantimes.weebly.com","Liberian Times","LR","Nationwide","IN","GI","ENG","","US-CA",17534,17534
"thenationonlineng.net","Nation","NG","Nationwide","NP","GI","ENG","","US",130391,112095
"theneighbourhoodonline.com","Neighbourhood","NG","Port Harcourt","NP","GI","ENG","","GB",283426,283471
"thenewcrusadingguideonline.com","New Crusading Guide","GH","Accra","NP","GI","ENG","","US-CA",141777,141777
"thenewrisingsun.net","New Rising Sun","SL","National","IN","GI","ENG","","US-PA",28734,28734
"thenews-chronicle.com","News Chronicle","NG","Nationwide","IN","GI","ENG","","US-AZ",87989,87977
"thepeoplesvoice.org.zw","People's Voice","ZW","Harare","NP","GI","ENG","","GB",83539,83539
"thepoint.gm","Point","GM","National","NP","GI","ENG","","FR",8418,8418
"thepointernewsonline.com","Pointer","NG","Asaba","NP","GI","ENG","","US-UT",150719,150721
"therainbow.com.ng","Rainbow","NG","Nationwide","IN","GI","ENG","","ZA",32342,32342
"thesoutherndaily.co.zw","Southern Daily","ZW","National","IN","GI","ENG","","US",92642,93207
"thesummary.com.ng","Summary","NG","Nationwide","IN","GI","ENG","","US",46455,47264
"theweekendpost.com","Weekend Post","ZA","Port Elizabeth","NP","GI","ENG","","US-TX",2709,2709
"theweeklyadvertiser.com","Weekly Advertiser","KE","Nairobi","NP","SH","ENG","","US-MA",26636,26637
"thewillnigeria.com","Will","NG","Nationwide","IN","GI","ENG","","CA-QC",154503,154503
"thezimbabwemail.com","Zimbabwe Mail","ZW","National","IN","GI","ENG","","US-AZ",374925,374925
"tig.asmarino.com","Asmarino","ER","Foreign","IN","GI","TIG","","US-CA",87821,125272
"timesmediamw.com","Daily Times","MW","National","NP","GI","ENG","","US-IL",192809,192809
"togozine.com","Togo Zine","TG","Foreign","IN","GI","FRA","","US-TX",322743,322177
"tpa.sapo.ao","Televisao Publica de Angola","AO","National","BC","GI","POR","TV","PT",145868,145729
"tv3network.com","TV3","GH","National","BC","GI","ENG","TV","US-IL",126395,126388
"tvt.tg","Television Togolaise","TG","National","BC","GI","FRA","TV","US",101396,101356
"tvwest.co.ug","TV West","UG","Mbarara","BC","GI","RUN","","US-UT",171920,171601
"ubc.ug","UBC","UG","National","BC","GI","ENG","Radio TV","US-FL",61027,143110
"ugandaradionetwork.com","URN","UG","National","NP","GI","ENG","","US",142892,142892
"ukzambians.co.uk","UK Zambians","ZM","National","IN","GI","ENG","","NL",40356,71355
"upperniletimes.net","Upper Nile Times","SS","Foreign","IN","GI","ENG","","US-AZ",76,76
"urhobotoday.com","Urhobo Today","NG","Ughelli","IN","GI","ENG","","US-FL",124556,124556
"vibeghana.com","Vibe Ghana","GH","National","IN","GI","ENG","","US-AZ",93785,93785
"victoriafalls24.com","Victoria Falls 24","ZW","Victoria Falls","IN","GI","ENG","","ZA",215007,215483
"wakteldjazair.com","Waqt El DjazairåÊ","DZ","Alger","NP","GI","ARA","","FR",203661,203661
"weekly.ahram.org.eg","Al Ahram Weekly","EG","Cairo","NP","GI","ENG","","EG",59804,59804
"wn.com","Ghana News","GH","National","IN","GI","ENG","","GB",350913,350913
"worldstagegroup.com","World Stage","NG","Nationwide","IN","GI","ENG","","US-TX",589,589
"wpost.co","Warri Post","NG","Warri","IN","GI","ENG","","US-UT",780,780
"wsrw.org","Western Sahara Resource Watch","EH","National","IN","GI","DEU","","US-TX",31156,66274
"www.1847post.com","1847 Post","LR","Nationwide","IN","GI","ENG","","FR",12520,12520
"www.24haubenin.info","24 Heures au Benin","BJ","National","IN","GI","FRA","","FR",52376,52376
"www.24hnewspaper.net","24 Hours","EG","Cairo","NP","GI","ARA","","US-TX",9668,57588
"www.3-mob.com","3 MOB","ZW","National","IN","GI","ENG","","US-TX",83224,83745
"www.5plus.mu","5 Plus Dimanche","MU","Port Louis","NP","GI","FRA","Also ENG","IE",91725,91725
"www.702.co.za","702coza","ZA","Johannesburg","BC","GI","ENG","Radio","ZA",52644,52642
"www.abamako.com","A Bamako","ML","National","IN","GI","FRA","","US",67190,67190
"www.abidjan.net","Abidjan","CI","National","IN","GI","FRA","","US",101115,101115
"www.aboutalgeria.com","About Algeria","DZ","National","IN","GI","ENG","","US-CA",303785,303786
"www.acholitimes.com","Acholi Times","UG","Gulu","NP","GI","ENG","Radio","US-AZ",65077,65190
"www.acotonou.com","A Cotonou","BJ","National","IN","GI","FRA","","US",62746,62746
"www.actsa.org","Angola Monitor","AO","National","IN","GI","ENG","Site 1 Also POR","GB",31945,31945
"www.actubenin.com","Le Matinal","BJ","National","NP","GI","FRA","","US-UT",322522,323217
"www.actuburkina.com","Actu Burkina","BF","National","IN","GI","FRA","","AU",2710,2748
"www.actuel-dz.com","L'Actuel","DZ","National","MG","BU","FRA","","FR",92127,92123
"www.actuniger.com","Actu Niger","NE","National","IN","GI","FRA","","FR",99613,99613
"www.actusen.com","Actu Sen","SN","Nationwide","IN","GI","FRA","","FR",245156,245859
"www.addisadmassnews.com","Addis Admass","ET","National","NP","GI","AMH","","US-FL",52600,52600
"www.adi.dj","ADI","DJ","National","PA","GI","FRA","","DJ",1412,1412
"www.adiac-congo.com","Agence d'Information d'Afrique","CG","National","PA","GI","FRA","","FR",98901,98901
"www.afbis.com","Africa Business Information","NG","Nationwide","IN","BU","ENG","","US-UT",81793,81793
"www.africa21digital.com","Africa 21","AO","National","MG","GI","POR","","BR",105678,105678
"www.africaguinee.com","Africa Guinee","GQ","National","IN","GI","FRA","","CH",206246,206246
"www.africanewsposts.com","Africa News Post","KE","National","IN","GI","ENG","","VG",747,747
