"domain",mobile_page_size,desktop_page_size,objects_total,diff_mobile,diff_desktop
"www.arewaonline-ng.com",155921,155921,6560,149361,149361
"www.arib.info",2899056,2899056,176290,2722766,2722766
"www.arushatimes.co.tz",9393,9310,5198,4195,4112
"www.ascension-island.gov.ac",71473,71442,630424,-558951,-558982
"www.asdae.com",14009,14009,925,13084,13084
"www.asmarino.com",87837,125240,8863,78974,116377
"www.assabah.com.tn",142248,142248,606202,-463954,-463954
"www.assabah.press.ma",136073,136682,1530417,-1394344,-1393735
"www.atoo.ci",150504,150597,1905741,-1755237,-1755144
"www.attounissia.com.tn",1765,1986,17915,-16150,-15929
"www.au-senegal.com",92700,92700,168447,-75747,-75747
"www.aujourdhui-en-guinee.com",79013,79013,129430,-50417,-50417
"www.aujourdhui.ma",185789,186352,440392,-254603,-254040
"www.autrequotidien.com",63115,69996,330010,-266895,-260014
"www.awrambatimes.com",50804,50803,2211675,-2160871,-2160872
"www.az.com.na",69194,69194,65186,4008,4008
"www.b-metro.co.zw",62729,62729,1180480,-1117751,-1117751
"www.babnet.net",60325,277811,505117,-444792,-227306
"www.bakhitaradio.org",54595,54595,1681097,-1626502,-1626502
"www.ballitonews.co.za",61123,61123,1684233,-1623110,-1623110
"www.banadir.com",458412,458412,55021,403391,403391
"www.banjulfocus.com",40924,40924,385315,-344391,-344391
"www.beeld.com",47853,126695,782861,-735008,-656166
"www.bejaiainfo.com",152780,152782,1957384,-1804604,-1804602
"www.bellanaija.com",363883,221411,12652670,-12288787,-12431259
"www.benin24tv.com",110455,110455,123189,-12734,-12734
"www.benininfo.com",142527,142527,653397,-510870,-510870
"www.bh24.co.zw",169461,169591,1358230,-1188769,-1188639
"www.bignigeria.com",177941,177941,390061,-212120,-212120
"www.bissaudigital.com",26096,26096,8600,17496,17496
"www.bizday.co.zw",19355,19355,121692,-102337,-102337
"www.blida-aps.dz",39289,39289,12256,27033,27033
"www.bonaberi.com",107004,106997,528618,-421614,-421621
"www.bonesha.bi",8472,8763,272645,-264173,-263882
"www.botswanaguardian.co.bw",49568,49568,2135937,-2086369,-2086369
"www.bravanews.com",77051,77051,85578,-8527,-8527
"www.brnieq.com",20789,20789,378163,-357374,-357374
"www.bugandawatch.com",71318,71318,3143644,-3072326,-3072326
"www.bukedde.co.ug",105596,105596,726287,-620691,-620691
"www.burundi-sites.com",17180,17180,614,16566,16566
"www.bushchicken.com",78720,218102,1070129,-991409,-852027
"www.business-et-finances.com",187897,187897,1485065,-1297168,-1297168
"www.businessdaily.co.zw",48154,48127,727448,-679294,-679321
"www.businessdailyafrica.com",82768,82543,494755,-411987,-412212
"www.businesstimes.co.tz",9240,9328,273412,-264172,-264084
"www.busiweek.com",69880,69880,-12,69892,69892
"www.cabodiario.com",29719,29719,49129,-19410,-19410
"www.caboverdeonline.com",39877,39877,452854,-412977,-412977
"www.cairolive.com",97920,97920,144125,-46205,-46205
"www.camer.be",317032,317056,5247033,-4930001,-4929977
"www.cameroon-info.net",173362,294126,626348,-452986,-332222
"www.cameroon-tribune.cm",154198,154198,155869,-1671,-1671
"www.cameroononline.org",152130,152131,1298788,-1146658,-1146657
"www.cameroonpostline.com",40968,89567,410256,-369288,-320689
