"domain","cc","geoloc_cc",size_mobile,"price_mobile",size_desktop,"price_desktop"
"stfrancischronicle.com","ZA","US-CA",63270,"0.0007",54361,"0.0006"
"sthelenaonline.org","SH","GB",110433,NULL,110433,NULL
"suna-sd.net","SD","SD",72570,"0.0004",72570,"0.0004"
"sundayexpress.co.ls","LS","ZA",101828,"0.0009",101828,"0.0009"
"sunnewsonline.com","NG","US",134223,"0.0005",134223,"0.0005"
"tahrirnews.com","EG","US",177848,"0.0003",177848,"0.0003"
"tchadinfos.com","TD","US-AZ",153097,"0.0031",153097,"0.0031"
"telquel.ma","MA","US",242605,"0.0010",148574,"0.0006"
"theabujatimes.com","NG","US-FL",195681,"0.0007",195463,"0.0007"
"theadvocatengr.com","NG","US-TX",82392,"0.0003",82392,"0.0003"
"thebftonline.com","GH","US",33877,"0.0002",33879,"0.0002"
"thecitizenng.com","NG","US-KS",181787,"0.0006",181796,"0.0006"
"theeagleonline.com.ng","NG","US-KS",177170,"0.0006",177170,"0.0006"
"theglobenewspaper.blogspot.com","ZM","US-CA",22880,"0.0004",286529,"0.0044"
"theheraldghana.com","GH","US",42966,"0.0002",42966,"0.0002"
"theinsider.ug","UG","US-UT",172770,"0.0011",172770,"0.0011"
"theinvestigatornews.com","UG","US-TX",57436,"0.0004",261270,"0.0017"
"theliberiandialogue.org","LR","US-UT",58511,"0.0003",58511,"0.0003"
"theliberiantimes.weebly.com","LR","US-CA",17534,"0.0001",17534,"0.0001"
"theneighbourhoodonline.com","NG","GB",283426,"0.0010",283471,"0.0010"
"thenewcrusadingguideonline.com","GH","US-CA",141777,"0.0007",141777,"0.0007"
"thenewrisingsun.net","SL","US-PA",28734,"0.0003",28734,"0.0003"
"thenews-chronicle.com","NG","US-AZ",87989,"0.0003",87977,"0.0003"
"thepeoplesvoice.org.zw","ZW","GB",83539,"0.0025",83539,"0.0025"
"thepointernewsonline.com","NG","US-UT",150719,"0.0005",150721,"0.0005"
"therainbow.com.ng","NG","ZA",32342,"0.0001",32342,"0.0001"
"thesoutherndaily.co.zw","ZW","US",92642,"0.0027",93207,"0.0027"
"thesummary.com.ng","NG","US",46455,"0.0002",47264,"0.0002"
"theweeklyadvertiser.com","KE","US-MA",26636,"0.0001",26637,"0.0001"
"thewillnigeria.com","NG","CA-QC",154503,"0.0005",154503,"0.0005"
"thezimbabwemail.com","ZW","US-AZ",374925,"0.0111",374925,"0.0111"
"tig.asmarino.com","ER","US-CA",87821,NULL,125272,NULL
"timesmediamw.com","MW","US-IL",192809,"0.0010",192809,"0.0010"
"togozine.com","TG","US-TX",322743,"0.0026",322177,"0.0026"
"tpa.sapo.ao","AO","PT",145868,"0.0029",145729,"0.0029"
"tv3network.com","GH","US-IL",126395,"0.0006",126388,"0.0006"
"tvt.tg","TG","US",101396,"0.0008",101356,"0.0008"
"tvwest.co.ug","UG","US-UT",171920,"0.0011",171601,"0.0011"
"ubc.ug","UG","US-FL",61027,"0.0004",143110,"0.0009"
"ugandaradionetwork.com","UG","US",142892,"0.0009",142892,"0.0009"
"ukzambians.co.uk","ZM","NL",40356,"0.0006",71355,"0.0011"
"urhobotoday.com","NG","US-FL",124556,"0.0004",124556,"0.0004"
"vibeghana.com","GH","US-AZ",93785,"0.0004",93785,"0.0004"
"victoriafalls24.com","ZW","ZA",215007,"0.0063",215483,"0.0064"
"wakteldjazair.com","DZ","FR",203661,"0.0014",203661,"0.0014"
"weekly.ahram.org.eg","EG","EG",59804,"0.0001",59804,"0.0001"
"wn.com","GH","GB",350913,"0.0016",350913,"0.0016"
"wsrw.org","EH","US-TX",31156,NULL,66274,NULL
"www.24haubenin.info","BJ","FR",52376,"0.0004",52376,"0.0004"
"www.24hnewspaper.net","EG","US-TX",9668,"0.0000",57588,"0.0001"
"www.3-mob.com","ZW","US-TX",83224,"0.0025",83745,"0.0025"
"www.5plus.mu","MU","IE",91725,"0.0006",91725,"0.0006"
"www.702.co.za","ZA","ZA",52644,"0.0005",52642,"0.0005"
"www.abamako.com","ML","US",67190,"0.0008",67190,"0.0008"
"www.abidjan.net","CI","US",101115,"0.0012",101115,"0.0012"
"www.aboutalgeria.com","DZ","US-CA",303785,"0.0021",303786,"0.0021"
"www.acholitimes.com","UG","US-AZ",65077,"0.0004",65190,"0.0004"
"www.acotonou.com","BJ","US",62746,"0.0005",62746,"0.0005"
"www.actsa.org","AO","GB",31945,"0.0006",31945,"0.0006"
"www.actubenin.com","BJ","US-UT",322522,"0.0025",323217,"0.0025"
"www.actuel-dz.com","DZ","FR",92127,"0.0007",92123,"0.0007"
"www.actusen.com","SN","FR",245156,"0.0016",245859,"0.0016"
"www.addisadmassnews.com","ET","US-FL",52600,"0.0003",52600,"0.0003"
"www.adiac-congo.com","CG","FR",98901,"0.0010",98901,"0.0010"
"www.afbis.com","NG","US-UT",81793,"0.0003",81793,"0.0003"
"www.africa21digital.com","AO","BR",105678,"0.0021",105678,"0.0021"
"www.africaguinee.com","GQ","CH",206246,NULL,206246,NULL
"www.africanexaminer.com","NG","CA-QC",191016,"0.0007",191136,"0.0007"
"www.africanheraldexpress.com","NG","US-CA",39730,"0.0001",39730,"0.0001"
"www.africapresse.com","CM","US-FL",108044,"0.0009",108044,"0.0009"
"www.africasports.net","SO","BG",109084,NULL,109084,NULL
"www.africatoday.co.ao","AO","IT",85448,"0.0017",85448,"0.0017"
"www.afrik53.com","CI","FR",153512,"0.0019",153512,"0.0019"
"www.afrol.com","SO","NO",65962,NULL,65962,NULL
"www.agpgabon.ga","GA","FR",23874,"0.0003",23874,"0.0003"
"www.ahdath.info","MA","US",92473,"0.0004",198074,"0.0009"
"www.ahram.org.eg","EG","EG",406100,"0.0006",406100,"0.0006"
"www.aib.bf","BF","FR",62252,"0.0005",62252,"0.0005"
"www.aip.ci","CI","FR",127603,"0.0015",127603,"0.0015"
"www.akaboozi.fm","UG","MU",85108,"0.0005",85109,"0.0005"
