"domain","probe_cc","hosting_cc1","hop_count"
"www.dailytrust.com.ng","NG","IN",9
"www.dakaractu.com","SN","FR",8
"www.deboutcongolais.info","CD","US",9
"www.defimedia.info","MU","FR",8
"www.depechedekabylie.com","DZ","FR",5
"www.derbypresse.dz","DZ","FR",6
"www.devoircitoyen.fr","SN","US",9
"www.dieburger.com","ZA","ZA",7
"www.digitalcongo.net","CD","US",10
"www.direct.cd","CD","US",5
"www.dispatchlive.co.za","ZA","US",8
"www.districtmail.com","ZA","ZA",8
"www.djazairess.com","DZ","US",5
"www.dknews-dz.com","DZ","AT",8
"www.dostor.org","EG","US",5
"www.durbannews.co.za","ZA","US",12
"www.dzfoot.com","DZ","US",5
"www.e-nigeriang.com","NG","US",7
"www.eastlondonexpress.co.za","ZA","ZA",8
"www.ech-chaab.com","DZ","FR",6
"www.echo-doran.com","DZ","CA",9
"www.echo-doran.com","DZ","NL",4
"www.echo-doran.com","DZ","US",9
"www.echo.co.bw","BW","BW",3
"www.echoroukonline.com","DZ","GB",7
"www.economist.com.na","NA","US",5
"www.ecr.co.za","ZA","US",5
"www.edenexpress.co.za","ZA","ZA",7
"www.edgecommunitynews.com","ZA","DE",8
"www.editogo.tg","TG","TG",4
"www.editorialnigeria.com","NG","US",10
"www.edoworld.net","NG","US",6
"www.egynews.net","EG","NL",7
"www.egypt-elections.com","EG","US",9
"www.egyptindependent.com","EG","US",6
"www.eikestadnuus.co.za","ZA","ZA",7
"www.el-hakaek.com","DZ","CA",10
"www.el-hakaek.com","DZ","FR",5
"www.el-hakaek.com","DZ","NL",5
"www.el-hakaek.com","DZ","US",9
"www.el-massa.com","DZ","CH",7
"www.elacil.com","DZ","FR",8
"www.elahdath.net","DZ","US",9
"www.elbilad.net","DZ","US",5
"www.eldjazaircom.dz","DZ","DE",6
"www.eldjoumhouria.dz","DZ","US",8
"www.elgoual.com","DZ","CA",10
"www.elgoual.com","DZ","FR",5
"www.elgoual.com","DZ","NL",6
"www.elgoual.com","DZ","US",8
"www.elheddaf.com","DZ","US",5
"www.eljadida.com","MA","FR",9
"www.elkhabar.com","DZ","US",5
"www.elmoudjahid-hebdo.com","DZ","NL",6
"www.elmoudjahid.com","DZ","US",9
"www.elombah.com","NG","US",10
"www.elwassat.com","DZ","DZ",6
"www.elwatan.com","DZ","FR",5
"www.ena.gov.et","ET","ET",4
"www.enca.com","ZA","IE",7
"www.enca.com","ZA","ZA",5
"www.ennaharonline.com","DZ","FR",7
"www.enqueteplus.com","SN","NL",8
"www.entv.dz","DZ","DZ",6
"www.ertagov.com","ET","JP",10
"www.essahafa.info.tn","TN","TN",7
"www.ethiomedia.com","ET","US",9
"www.ethionewsdirect.com","ET","US",5
"www.ethioobserver.net","ET","US",8
"www.ethiopian-news.com","ET","US",10
"www.ethiopianreporter.com","ET","US",5
"www.ethiopians.com","ET","US",9
"www.etiame.com","TG","FR",11
"www.expansao.co.ao","AO","US",10
"www.expatica.com","ZA","NL",10
"www.expressodasilhas.sapo.cv","CV","GB",5
"www.ezega.com","ET","US",10
"www.faceofmalawi.com","MW","US",7
"www.factualreporters.com","NG","US",6
"www.financialgazette.co.zw","ZW","ZA",6
"www.financialmail.co.za","ZA","US",6
"www.finitemagazine.co.ls","LS","US",9
